loss,0.1682,0.089,0.0803,0.073,0.0689,0.063,0.0575,0.0534,0.0481,0.0438
binary_accuracy,0.9361,0.968,0.9712,0.974,0.975,0.9772,0.9795,0.9807,0.9825,0.9837
recall,0.8328,0.9258,0.9334,0.939,0.9419,0.9474,0.9526,0.9559,0.9601,0.9627
precision,0.9156,0.9506,0.9555,0.9609,0.962,0.9649,0.9687,0.9698,0.9726,0.9748
auc,0.974,0.9917,0.9933,0.9943,0.9949,0.9957,0.9964,0.9967,0.9974,0.9978
auc_1,0.9459,0.983,0.9859,0.9879,0.9892,0.9909,0.9921,0.993,0.9943,0.9952
matthews_correlation_coefficient,0.829,0.9156,0.9237,0.9304,0.933,0.9395,0.9443,0.9478,0.9529,0.9555
val_loss,0.0981,0.0813,0.0847,0.0794,0.0885,0.0785,0.0794,0.0879,0.0894,0.0985
val_binary_accuracy,0.9648,0.9706,0.9693,0.9716,0.9695,0.9735,0.9733,0.9719,0.9704,0.9709
val_recall,0.9325,0.9353,0.9197,0.9151,0.9094,0.9343,0.9318,0.9438,0.9318,0.9266
val_precision,0.9313,0.95,0.9597,0.9732,0.9708,0.9619,0.9636,0.9473,0.9528,0.9592
val_auc,0.9898,0.993,0.9926,0.9935,0.9918,0.9927,0.992,0.991,0.991,0.9886
val_auc_1,0.9792,0.9851,0.9846,0.9871,0.9845,0.9858,0.9859,0.9824,0.9821,0.9796
val_matthews_correlation_coefficient,0.9078,0.9228,0.9152,0.9184,0.9158,0.9278,0.9289,0.9269,0.9227,0.924
